"cause_name","sex","age","deaths"
"Attention-deficit/hyperactivity disorder","Male","70 to 74",NA
"Attention-deficit/hyperactivity disorder","Male","75 to 79",NA
"Attention-deficit/hyperactivity disorder","Male","80 plus",NA
"Attention-deficit/hyperactivity disorder","Male","Under 5",NA
"Autistic spectrum disorders","Female","10 to 14",NA
"Autistic spectrum disorders","Female","15 to 19",NA
"Autistic spectrum disorders","Female","20 to 24",NA
"Autistic spectrum disorders","Female","25 to 29",NA
"Autistic spectrum disorders","Female","30 to 34",NA
"Autistic spectrum disorders","Female","35 to 39",NA
"Autistic spectrum disorders","Female","40 to 44",NA
"Autistic spectrum disorders","Female","45 to 49",NA
"Autistic spectrum disorders","Female","5 to 9",NA
"Autistic spectrum disorders","Female","50 to 54",NA
"Autistic spectrum disorders","Female","55 to 59",NA
"Autistic spectrum disorders","Female","60 to 64",NA
"Autistic spectrum disorders","Female","65 to 69",NA
"Autistic spectrum disorders","Female","70 to 74",NA
"Autistic spectrum disorders","Female","75 to 79",NA
"Autistic spectrum disorders","Female","80 plus",NA
"Autistic spectrum disorders","Female","Under 5",NA
"Autistic spectrum disorders","Male","10 to 14",NA
"Autistic spectrum disorders","Male","15 to 19",NA
"Autistic spectrum disorders","Male","20 to 24",NA
"Autistic spectrum disorders","Male","25 to 29",NA
"Autistic spectrum disorders","Male","30 to 34",NA
"Autistic spectrum disorders","Male","35 to 39",NA
"Autistic spectrum disorders","Male","40 to 44",NA
"Autistic spectrum disorders","Male","45 to 49",NA
"Autistic spectrum disorders","Male","5 to 9",NA
"Autistic spectrum disorders","Male","50 to 54",NA
"Autistic spectrum disorders","Male","55 to 59",NA
"Autistic spectrum disorders","Male","60 to 64",NA
"Autistic spectrum disorders","Male","65 to 69",NA
"Autistic spectrum disorders","Male","70 to 74",NA
"Autistic spectrum disorders","Male","75 to 79",NA
"Autistic spectrum disorders","Male","80 plus",NA
"Autistic spectrum disorders","Male","Under 5",NA
"Bipolar disorder","Female","10 to 14",NA
"Bipolar disorder","Female","15 to 19",NA
"Bipolar disorder","Female","20 to 24",NA
"Bipolar disorder","Female","25 to 29",NA
"Bipolar disorder","Female","30 to 34",NA
"Bipolar disorder","Female","35 to 39",NA
"Bipolar disorder","Female","40 to 44",NA
"Bipolar disorder","Female","45 to 49",NA
"Bipolar disorder","Female","50 to 54",NA
"Bipolar disorder","Female","55 to 59",NA
"Bipolar disorder","Female","60 to 64",NA
"Bipolar disorder","Female","65 to 69",NA
"Bipolar disorder","Female","70 to 74",NA
"Bipolar disorder","Female","75 to 79",NA
"Bipolar disorder","Female","80 plus",NA
"Bipolar disorder","Male","10 to 14",NA
"Bipolar disorder","Male","15 to 19",NA
"Bipolar disorder","Male","20 to 24",NA
"Bipolar disorder","Male","25 to 29",NA
"Bipolar disorder","Male","30 to 34",NA
"Bipolar disorder","Male","35 to 39",NA
"Bipolar disorder","Male","40 to 44",NA
"Bipolar disorder","Male","45 to 49",NA
"Bipolar disorder","Male","50 to 54",NA
"Bipolar disorder","Male","55 to 59",NA
"Bipolar disorder","Male","60 to 64",NA
"Bipolar disorder","Male","65 to 69",NA
"Bipolar disorder","Male","70 to 74",NA
"Bipolar disorder","Male","75 to 79",NA
"Bipolar disorder","Male","80 plus",NA
"Bladder cancer","Female","15 to 19",5.4273708825111
"Bladder cancer","Female","20 to 24",12.705620845318
"Bladder cancer","Female","25 to 29",9.3032653439045
"Bladder cancer","Female","30 to 34",21.181007176876
"Bladder cancer","Female","35 to 39",32.069183749199
"Bladder cancer","Female","40 to 44",58.513478238106
"Bladder cancer","Female","45 to 49",81.494009469032
"Bladder cancer","Female","50 to 54",102.64380479813
"Bladder cancer","Female","55 to 59",155.16571176338
"Bladder cancer","Female","60 to 64",189.46718502998
"Bladder cancer","Female","65 to 69",205.30023272514
"Bladder cancer","Female","70 to 74",219.77089124107
"Bladder cancer","Female","75 to 79",165.42172110939
"Bladder cancer","Female","80 plus",294.64585994148
"Bladder cancer","Male","15 to 19",11.972721997261
"Bladder cancer","Male","20 to 24",21.288923442364
"Bladder cancer","Male","25 to 29",27.388418599129
"Bladder cancer","Male","30 to 34",79.471593271256
"Bladder cancer","Male","35 to 39",105.20217828178
"Bladder cancer","Male","40 to 44",179.57867516899
"Bladder cancer","Male","45 to 49",328.92311198807
"Bladder cancer","Male","50 to 54",692.28430097961
"Bladder cancer","Male","55 to 59",1076.0120522003
"Bladder cancer","Male","60 to 64",1476.3929185486
"Bladder cancer","Male","65 to 69",1453.2708673096
"Bladder cancer","Male","70 to 74",1377.5456500854
"Bladder cancer","Male","75 to 79",995.51777867126
"Bladder cancer","Male","80 plus",1261.2399049683
"Brain and nervous system cancer","Female","10 to 14",81.947695146561
"Brain and nervous system cancer","Female","15 to 19",136.36908731079
"Brain and nervous system cancer","Female","20 to 24",157.98552500534
"Brain and nervous system cancer","Female","25 to 29",168.26192835236
"Brain and nervous system cancer","Female","30 to 34",227.47622145462
"Brain and nervous system cancer","Female","35 to 39",269.56756135559
"Brain and nervous system cancer","Female","40 to 44",365.31140374374
"Brain and nervous system cancer","Female","45 to 49",567.7088733139
"Brain and nervous system cancer","Female","5 to 9",125.72550250816
"Brain and nervous system cancer","Female","50 to 54",600.40627279663
"Brain and nervous system cancer","Female","55 to 59",737.44034407043
"Brain and nervous system cancer","Female","60 to 64",682.12726207733
"Brain and nervous system cancer","Female","65 to 69",603.15930834198
"Brain and nervous system cancer","Female","70 to 74",379.82428775406
"Brain and nervous system cancer","Female","75 to 79",276.38998817444
"Brain and nervous system cancer","Female","80 plus",211.26528450775
"Brain and nervous system cancer","Female","Under 5",88.136717661381
"Brain and nervous system cancer","Male","10 to 14",314.36080158806
