"cause_name","sex","age","ylds"
"Breast cancer","Male","40 to 44",131.14642273017
"Breast cancer","Male","45 to 49",211.82809346001
"Breast cancer","Male","50 to 54",222.31246113741
"Breast cancer","Male","55 to 59",224.78728154155
"Breast cancer","Male","60 to 64",249.6681478495
"Breast cancer","Male","65 to 69",175.03897546126
"Breast cancer","Male","70 to 74",119.57908134044
"Breast cancer","Male","75 to 79",80.851415004269
"Breast cancer","Male","80 plus",96.458214327002
"Cardiomyopathy and myocarditis","Female","10 to 14",265.82496015361
"Cardiomyopathy and myocarditis","Female","15 to 19",345.02417647259
"Cardiomyopathy and myocarditis","Female","20 to 24",418.03885038567
"Cardiomyopathy and myocarditis","Female","25 to 29",546.82426740025
"Cardiomyopathy and myocarditis","Female","30 to 34",650.53217384877
"Cardiomyopathy and myocarditis","Female","35 to 39",820.66165274027
"Cardiomyopathy and myocarditis","Female","40 to 44",1168.2881867089
"Cardiomyopathy and myocarditis","Female","45 to 49",1773.575320824
"Cardiomyopathy and myocarditis","Female","5 to 9",258.78074702488
"Cardiomyopathy and myocarditis","Female","50 to 54",2213.7011389243
"Cardiomyopathy and myocarditis","Female","55 to 59",2524.318100068
"Cardiomyopathy and myocarditis","Female","60 to 64",2649.5372748094
"Cardiomyopathy and myocarditis","Female","65 to 69",3201.3009535806
"Cardiomyopathy and myocarditis","Female","70 to 74",3258.4903287688
"Cardiomyopathy and myocarditis","Female","75 to 79",2328.0330947889
